Name of Earth Meteorite,ID of Earth Meteorite,nametype,recclass,Mass of Earth Meteorite,Year at which Earth Meteorite was hit,reclat,reclong,point coordinates
Denver,6660,Valid,L6,230.0,,39.7825,-104.93056,"[-104, 39]"
Dergaon,6664,Valid,H5,12500.0,,26.68333,93.86667,"[93, 26]"
Desuri,6693,Valid,H6,25400.0,,25.73333,73.61667,"[73, 25]"
Devgaon,6694,Valid,H3.8,12000.0,,19.0,81.0,"[81, 19]"
Devri-Khera,6696,Valid,L6,1140.0,,24.225,76.525,"[76, 24]"
Dhajala,6698,Valid,H3.8,45000.0,,22.37778,71.42722,"[71, 22]"
Dharwar,6699,Valid,OC,1800.0,,14.88333,75.6,"[75, 14]"
Dhurmsala,7640,Valid,LL6,32000.0,,32.23333,76.46667,"[76, 32]"
Didim,47350,Valid,H3-5,3396.0,,37.35172,27.32997,"[27, 37]"
Diep River,7642,Valid,L6,1000.0,,-33.75,18.56667,"[18, -33]"
Distrito Quebracho,7649,Valid,H4,400.0,,-31.88333,-60.46667,"[-60, -31]"
Djati-Pengilon,7652,Valid,H6,166000.0,,-7.5,111.5,"[111, -7]"
Djermaia,7656,Valid,H,3950.0,,12.73333,15.05,"[15, 12]"
Djoumine,7657,Valid,H5-6,10000.0,,36.95,9.55,"[9, 36]"
Dokachi,7658,Valid,H5,3840.0,,23.5,90.33333,"[90, 23]"
Dolgovoli,7659,Valid,L6,1600.0,,50.75,25.3,"[25, 50]"
Domanitch,7661,Valid,L5,438.0,,40.0,29.0,"[29, 40]"
Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800.0,,45.5,119.03333,"[119, 45]"
Donga Kohrod,7707,Valid,H6,230.0,,21.86667,82.45,"[82, 21]"
Dongtai,7708,Valid,LL6,5500.0,,32.91667,120.78333,"[120, 32]"
Doroninsk,7718,Valid,H5-7,3891.0,,51.2,112.3,"[112, 51]"
Dosso,7722,Valid,L6,1250.0,,13.05,3.16667,"[3, 13]"
Douar Mghila,7723,Valid,LL6,1161.0,,32.33333,-6.3,"[-6, 32]"
Dowa,7725,Valid,Stone-uncl,642.0,,-13.66667,33.91667,"[33, -13]"
Drake Creek,7728,Valid,L6,5000.0,,36.4,-86.5,"[-86, 36]"
Dresden (Ontario),7731,Valid,H6,47700.0,,42.52,-82.26,"[-82, 42]"
Dubrovnik,7736,Valid,L3-6,1900.0,,42.45833,18.44167,"[18, 42]"
Dunbogan,7743,Valid,L6,30.0,,-31.66667,152.83333,"[152, -31]"
Dundrum,7745,Valid,H5,2270.0,,52.55,-8.03333,"[-8, 52]"
Dunhua,7749,Valid,Stone-uncl,,,43.33333,128.25,"[128, 43]"
Durala,7750,Valid,L6,13200.0,,30.3,76.63333,"[76, 30]"
Duruma,7752,Valid,L6,577.0,,-4.0,39.5,"[39, -4]"
Duwun,7754,Valid,L6,2117.0,,33.43333,127.26667,"[127, 33]"
Dwaleni,7755,Valid,H4-6,3230.0,,-27.2,31.31667,"[31, -27]"
Dyalpur,7757,Valid,Ureilite,300.0,,26.25,82.0,"[82, 26]"
Dyarrl Island,7758,Valid,Mesosiderite-A1,188.0,,-3.0,151.0,"[151, -3]"
Eagle,7760,Valid,EL6,10000.0,,40.78167,-96.47167,"[-96, 40]"
Ehole,7774,Valid,H5,2400.0,,-17.3,15.83333,"[15, -17]"
Eichstädt,7775,Valid,H5,3000.0,,48.9,11.21667,"[11, 48]"
Ekeby,7776,Valid,H4,3336.0,,56.03333,13.0,"[13, 56]"
Ekh Khera,7777,Valid,H6,840.0,,28.26667,78.78333,"[78, 28]"
El Idrissia,7807,Valid,L6,10000.0,,34.41667,3.25,"[3, 34]"
El Paso de Aguila,45977,Valid,H5,17226.0,,25.37,-97.37,"[-97, 25]"
El Tigre,7819,Valid,L6,5000.0,,19.96722,-103.05167,"[-103, 19]"
Elbert,7822,Valid,LL6,680.5,,39.24667,-104.58817,"[-104, 39]"
Elbogen,7823,Valid,"Iron, IID",107000.0,,50.18333,12.73333,"[12, 50]"
Elenovka,7824,Valid,L5,54640.0,,47.83333,37.66667,"[37, 47]"
Ellemeet,10019,Valid,Diogenite,1470.0,,51.75,4.0,"[4, 51]"
Emmaville,10033,Valid,Eucrite-mmict,127.0,,-29.46667,151.61667,"[151, -29]"
Enshi,10038,Valid,H5,8000.0,,30.3,109.5,"[109, 30]"
Ensisheim,10039,Valid,LL6,127000.0,,47.86667,7.35,"[7, 47]"
Épinal,10041,Valid,H5,277.0,,48.18333,6.46667,"[6, 48]"
Erakot,10042,Valid,CM2,113.0,,19.03333,81.89167,"[81, 19]"
Erevan,10043,Valid,Howardite,107.2,,40.3,44.5,"[44, 40]"
Ergheo,10044,Valid,L5,20000.0,,1.16667,44.16667,"[44, 1]"
Erxleben,10049,Valid,H6,2250.0,,52.21667,11.25,"[11, 52]"
Esnandes,10051,Valid,L6,1500.0,,46.25,-1.1,"[-1, 46]"
Essebi,10055,Valid,C2-ung,500.0,,2.88333,30.83333,"[30, 2]"
Estherville,10059,Valid,Mesosiderite-A3/4,320000.0,,43.41667,-94.83333,"[-94, 43]"
Farmington,10074,Valid,L5,89400.0,,39.75,-97.03333,"[-97, 39]"
Farmville,10075,Valid,H4,56000.0,,35.55,-77.53333,"[-77, 35]"
Favars,10078,Valid,H5,1500.0,,44.38333,2.81667,"[2, 44]"
Fayetteville,10079,Valid,H4,2360.0,,36.05,-94.16667,"[-94, 36]"
Feid Chair,10080,Valid,H4,380.0,,36.88333,8.45,"[8, 36]"
Felix,10081,Valid,CO3.3,3200.0,,32.53333,-87.16667,"[-87, 32]"
Fenghsien-Ku,10086,Valid,H5,82.0,,34.6,116.75,"[116, 34]"
Ferguson,10088,Valid,OC,220.0,,36.1,-81.41667,"[-81, 36]"
Fermo,10091,Valid,H3-5,10200.0,,43.18111,13.75333,"[13, 43]"
Fisher,10107,Valid,L6,17600.0,,47.81667,-96.85,"[-96, 47]"
Florence,10111,Valid,H3,3640.0,,30.83333,-97.76667,"[-97, 30]"
Forest City,10119,Valid,H5,152000.0,,43.25,-93.66667,"[-93, 43]"
Forest Vale,10120,Valid,H4,26000.0,,-33.35,146.85833,"[146, -33]"
Forksville,10123,Valid,L6,6067.0,,36.78333,-78.08333,"[-78, 36]"
Forsbach,10163,Valid,H6,240.0,,50.95,7.31667,"[7, 50]"
Forsyth,10164,Valid,L6,16300.0,,33.01667,-83.96667,"[-83, 33]"
Fort Flatters,10166,Valid,Stone-uncl,,,28.25,7.0,"[7, 28]"
Frankfort (stone),10177,Valid,Howardite,650.0,,34.48333,-87.83333,"[-87, 34]"
Fuhe,52412,Valid,L5,23000.0,,31.47556,113.56694,"[113, 31]"
Fukutomi,10836,Valid,L5,11620.0,,33.18333,130.2,"[130, 33]"
Fünen,10838,Valid,Stone-uncl,,,55.33333,10.33333,"[10, 55]"
Futtehpur,10839,Valid,L6,4000.0,,25.95,80.81667,"[80, 25]"
Fuyang,10840,Valid,Stone-uncl,2500.0,,32.9,115.9,"[115, 32]"
Galapian,10846,Valid,H6,132.7,,44.3,0.4,"[0, 44]"
Galim (a),10848,Valid,LL6,36.1,,7.05,12.43333,"[12, 7]"
Galim (b),10849,Valid,EH3/4-an,28.0,,7.05,12.43333,"[12, 7]"
Galkiv,10850,Valid,H4,5000.0,,51.68333,30.78333,"[30, 51]"
Gambat,10851,Valid,L6,6400.0,,27.35,68.53333,"[68, 27]"
Gao-Guenie,10854,Valid,H5,,,11.65,-2.18333,"[-2, 11]"
Garhi Yasin,10860,Valid,"Iron, IIE",380.0,,27.88333,68.53333,"[68, 27]"
